Month,R,SAS,
2004-01,41,20,69
2004-02,47,23,72
2004-03,47,21,72
2004-04,43,26,73
2004-05,45,20,68
2004-06,42,24,65
2004-07,40,21,58
2004-08,38,20,56
2004-09,47,21,61
2004-10,47,23,72
2004-11,47,21,74
2004-12,45,20,63
2005-01,40,18,63
2005-02,47,21,63
2005-03,42,22,67
2005-04,45,24,70
2005-05,42,20,67
2005-06,40,21,55
2005-07,37,18,47
2005-08,36,16,52
2005-09,41,19,56
2005-10,48,20,60
2005-11,48,19,63
2005-12,37,18,50
2006-01,38,15,50
2006-02,44,20,57
2006-03,45,20,57
2006-04,37,17,57
2006-05,43,16,55
2006-06,37,18,49
2006-07,32,17,44
2006-08,31,16,41
2006-09,35,16,51
2006-10,43,17,52
2006-11,44,17,56
2006-12,36,14,43
2007-01,36,14,47
2007-02,40,15,46
2007-03,41,17,51
2007-04,42,15,54
2007-05,41,15,50
2007-06,36,14,44
2007-07,34,15,39
2007-08,33,14,39
2007-09,39,15,44
2007-10,46,15,48
2007-11,47,15,51
2007-12,38,12,42
2008-01,37,13,44
2008-02,40,15,41
2008-03,39,13,43
2008-04,43,15,47
2008-05,40,13,46
2008-06,35,13,42
2008-07,35,12,37
2008-08,33,12,36
2008-09,41,14,40
2008-10,42,15,40
2008-11,40,13,46
2008-12,34,11,37
2009-01,41,11,39
2009-02,42,14,42
2009-03,43,13,43
2009-04,42,14,45
2009-05,41,12,41
2009-06,36,12,40
2009-07,35,12,38
2009-08,33,12,34
2009-09,40,13,38
2009-10,45,13,44
2009-11,44,15,47
2009-12,38,12,37
2010-01,36,11,35
2010-02,41,12,39
2010-03,45,13,42
2010-04,47,14,43
2010-05,38,12,40
2010-06,40,13,38
2010-07,32,10,28
2010-08,32,11,30
2010-09,43,12,31
2010-10,49,13,35
2010-11,50,13,36
2010-12,42,9,33
2011-01,41,10,33
2011-02,49,12,32
2011-03,50,12,40
2011-04,50,12,40
2011-05,47,11,42
2011-06,43,11,34
2011-07,34,10,27
2011-08,37,10,28
2011-09,50,12,30
2011-10,56,12,36
2011-11,57,12,40
2011-12,50,9,31
2012-01,47,9,31
2012-02,53,11,35
2012-03,55,11,37
2012-04,54,12,40
2012-05,52,10,38
2012-06,46,10,34
2012-07,39,9,28
2012-08,40,9,24
2012-09,51,11,30
2012-10,58,12,32
2012-11,55,11,35
2012-12,46,8,29
2013-01,48,10,31
2013-02,57,11,32
2013-03,55,10,32
2013-04,59,10,37
2013-05,56,10,37
2013-06,48,9,32
2013-07,41,9,26
2013-08,41,9,23
2013-09,53,10,28
2013-10,63,11,32
2013-11,62,11,35
2013-12,53,9,28
2014-01,51,9,29
2014-02,56,10,30
2014-03,60,10,32
2014-04,60,10,33
2014-05,60,10,34
2014-06,51,9,31
2014-07,46,9,25
2014-08,46,8,23
2014-09,61,10,27
2014-10,66,11,29
2014-11,69,11,33
2014-12,56,9,29
2015-01,55,9,26
2015-02,65,12,28
2015-03,70,10,32
2015-04,72,11,34
2015-05,63,10,33
2015-06,59,8,31
2015-07,52,9,23
2015-08,49,8,23
2015-09,67,9,26
2015-10,72,10,28
2015-11,71,10,30
2015-12,62,8,26
2016-01,58,9,26
2016-02,75,10,28
2016-03,72,10,29
2016-04,78,12,34
2016-05,71,11,34
2016-06,65,9,29
2016-07,52,8,20
2016-08,55,8,22
2016-09,70,10,25
2016-10,74,11,25
2016-11,80,10,31
2016-12,65,9,27
2017-01,63,9,26
2017-02,80,10,24
2017-03,83,10,30
2017-04,85,10,31
2017-05,76,10,31
2017-06,65,15,24
2017-07,57,8,23
2017-08,61,8,20
2017-09,74,8,21
2017-10,82,10,24
2017-11,84,10,28
2017-12,68,8,24
2018-01,66,8,23
2018-02,76,9,22
2018-03,79,8,26
2018-04,82,9,26
2018-05,74,8,28
2018-06,62,8,21
2018-07,59,7,21
2018-08,58,7,18
2018-09,69,8,19
2018-10,79,9,23
2018-11,78,9,24
2018-12,60,7,22
2019-01,65,7,20
2019-02,75,9,20
2019-03,77,8,22
2019-04,73,8,24
2019-05,72,8,25
2019-06,63,7,21
2019-07,51,7,20
2019-08,59,6,16
2019-09,74,8,20
2019-10,79,9,23
2019-11,78,9,23
2019-12,62,7,20
2020-01,63,7,19
2020-02,76,8,20
2020-03,74,7,19
2020-04,79,7,21
2020-05,79,7,21
2020-06,74,7,21
2020-07,65,6,17
2020-08,65,6,16
2020-09,83,7,16
2020-10,77,7,17
2020-11,74,7,18
2020-12,69,7,15
2021-01,58,6,16
2021-02,67,7,14
2021-03,77,7,18
2021-04,71,7,18
2021-05,64,7,17
2021-06,64,6,17
2021-07,51,5,13
2021-08,50,5,12
2021-09,71,6,12
2021-10,74,6,14
2021-11,80,7,17
2021-12,70,6,15
2022-01,74,6,19
2022-02,92,7,20
2022-03,100,9,23
2022-04,93,8,23
2022-05,84,7,23
2022-06,76,6,23
2022-07,63,5,17
2022-08,64,6,15
2022-09,80,6,18
